species;speciesKey;lat;lon;HFP09;Elevation;continents;Status;IUCNonly;time_period
Catasetum seccoi;2803998;-5.1922;-43.7475;6.72822380065918;88.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Catasetum stevensonii;2803814;-9.4714;-74.7736;2.0;758.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Cattleya wallisii;2801015;-2.6833;-60.32;11.0;23.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Cleistes unifoliata;2785953;5.9167;-62.25;1.07148945331573;978.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Coelogyne steenisii;2811636;-4.7;103.92;6.25865745544434;558.0;{'ASIA-TROPICAL'};EXT;False;2061/2080
Comparettia rubriflora;5951929;-6.4;-79.02;13.0;2337.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Corymborkis minima;2801404;4.3512;9.1564125;5.121493428945539;187.625;{'AFRICA'};EXT;False;2041/2060
Crepidium kabense;5307196;-3.5167;102.6333;14.2752676010132;1797.0;{'ASIA-TROPICAL'};EXT;True;2081/2100
Crepidium kinabaluense;5307121;5.3779;117.0875;11.0005712509155;70.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Cribbia confusa;2802498;3.4508699999999997;9.15471;7.5457804679870595;1276.8;{'AFRICA'};EXT;False;2041/2060
Cribbia pendula;8578035;0.253;6.5902;7.3421311378479;924.5;{'AFRICA'};EXT;True;2041/2060
Cribbia thomensis;8704869;0.2844;6.599066666666666;7.3594317436218235;1313.6666666666667;{'AFRICA'};EXT;True;2041/2060
Cycnoches peruvianum;2783331;-4.25;-78.8333;0.250142157077789;1602.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Cymbidium roseum;5305476;4.6333;102.2333;3.0;2130.0;{'ASIA-TROPICAL'};EXT;False;2061/2080
Cyrtochilum megalophium;2832901;4.2537;-73.824;18.0;1404.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Cyrtorchis henriquesiana;2786040;0.57525;11.39835;5.1253548860549945;511.0;{'AFRICA'};EXT;False;2041/2060
Cyrtorchis letouzeyi;2786058;4.757775;12.547975000000001;9.163051962852485;945.75;{'AFRICA'};EXT;False;2041/2060
Cyrtorchis seretii;2786045;3.8;27.3;11.0;663.0;{'AFRICA'};EXT;False;2041/2060
Dendrobium hkinhumense;6315618;25.8375;97.3717;13.0002470016479;333.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Dendrobium kruiense;5315435;2.7667;98.4667;11.0;1443.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Dendrobium multilineatum;5316451;19.0;103.17;3.25865769386292;2162.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Dendrobium pentapterum;5315336;-7.3;146.1167;4.0;2331.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Dendrobium rhytidothece;5315531;-6.4789;145.2411;20.0023937225342;1530.0;{'ASIA-TROPICAL'};EXT;False;Present
Dendrochilum duplicibrachium;2818285;-3.3;102.4167;21.0;913.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Diaphananthe ceriflora;2796348;2.4431000000000003;11.23565;6.867972135543825;636.0;{'AFRICA'};EXT;False;2041/2060
Diaphananthe gabonensis;8065825;1.2753375;11.3023375;3.0265059620141987;357.125;{'AFRICA'};EXT;False;2041/2060
Diaphananthe suborbicularis;2796418;7.06;0.19;0.608088314533234;75.0;{'AFRICA'};EXT;False;2041/2060
Dinklageella villiersii;2783556;0.4655666666666667;9.440833333333332;3.61964170138041;7.0;{'AFRICA'};EXT;False;2041/2060
Disa nigerica;2783672;6.277675;10.993775;11.362488806247715;1405.0;{'AFRICA'};EXT;False;2041/2060
Disperis fayi;3654942;8.68;21.3;1.25014209747314;592.0;{'AFRICA'};EXT;False;2041/2060
