level;speciesKey;lat;lon;HFP09;Elevation;continents;IUCNonly;broad;broad;broad;broad;broad;broad;broad;broad;broad;broad;detail;detail;detail;detail;detail;detail;detail;detail;detail;detail
Lepanthes stenophylla;2851481;16.05641;-91.52592999999999;6.643636322021484;1467.8;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes stenorhyncha;2851466;10.3;-84.78;7.43670129776001;1329.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes strumosa;2851353;-1.4246666666666667;-77.99021666666667;3.5770989259084054;2228.3333333333335;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;CR
Lepanthes stupenda;2851341;-0.0389;-78.461;24.561654090881337;2303.6666666666665;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes suarezii;2851328;17.470933333333335;-96.36583333333333;4.41780654589335;1841.3333333333333;{'NORTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;EN;EN;VU;CR
Lepanthes suavium;2851316;-3.9736;-78.6489;7.0;884.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;EN;EN;EN;EN
Lepanthes subalpina;2851307;18.1202;-71.2044;7.52709484100342;1530.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Lepanthes subdimidiata;2851295;9.990300000000001;-83.82875;13.51831245422365;608.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes sulcata;2851246;-4.184;-79.189;23.5;2053.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes superposita;2851235;1.0972;-77.1044;7.39647722244263;3083.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;CR;CR;CR;LC;LC;LC;LC;LC;LC;LC
Lepanthes surrogata;2851224;-3.41;-78.375;5.86695897579193;1176.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;EN;EN;LC;LC
Lepanthes sybax;2851214;-2.9;-79.015;36.0;2537.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Lepanthes tachirensis;2851173;-0.9872842105263159;-77.9305;11.655878631692188;2507.4736842105262;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tanekes;2851138;1.0667;-78.0333;4.0;1567.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes teaguei;2851125;-3.67915;-78.86715000000001;3.3873724937438947;2200.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;EN;LC;LC;CR;CR;CR;LC;LC
Lepanthes tecpanica;2851115;15.1111;-91.8408;13.419552485148111;2486.3333333333335;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tectorum;2851089;-3.245266666666667;-78.24926666666666;5.666666666666667;1748.3333333333333;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;LC;LC;LC;LC;LC;EN;CR
Lepanthes tentaculata;2852202;0.905;-78.535;17.2814521789551;671.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;EN;EN;LC;LC;LC;LC;LC;LC
Lepanthes tenuiloba;2852194;16.021822727272728;-93.22983636363637;6.1219472018155185;1875.1818181818182;{'NORTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes terborchii;2851320;-10.2994;-75.61;2.25005102157593;2379.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;LC
Lepanthes teres;9817380;-4.403333333333333;-79.16066666666667;8.666666666666666;2379.6666666666665;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes terpsichore;2852137;-3.58;-79.68;13.4367017745972;1760.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tetrachaeta;2852124;-0.1167;-77.6333;15.3575763702393;2106.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;CR;EN;EN;LC;LC;LC;LC;LC
Lepanthes tetracola;2852113;5.6007;-76.189;4.0;1377.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tetroptera;2852101;8.844433333333333;-82.46666666666667;8.508994738260904;1913.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes thalia;2852090;0.833;-78.46600000000002;3.75297474861145;934.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;EN;EN;EN;EN;EN;EN;EN;EN
Lepanthes thylax;2852047;-2.575;-78.30499999999999;9.311227401097616;1320.3333333333333;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tibouchinicola;2852037;6.102500000000001;-75.65038;16.445680618286136;2739.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;EN;LC;LC;LC;LC
Lepanthes tipulifera;2852028;10.015275;-83.975275;14.483526825904846;1903.4166666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;NT;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes titanica;2852020;-1.6;-79.0;35.0;2606.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tonduziana;2851976;10.1875;-84.5083;21.0;1069.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tortilis;2851962;0.7833;-78.41329999999999;3.743282794952395;1370.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tracheia;2851929;0.08042142857142855;-76.68084285714285;13.31930873223713;1768.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes transparens;2851913;0.29645000000000005;-77.77016666666667;12.754149834314989;2983.8333333333335;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes trichidion;2851885;8.8803;-82.5594;7.72822380065918;2220.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes trichodactyla;2851865;20.516325000000002;-76.655775;8.189626455307017;579.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tridactyla;2852187;-3.9666;-79.07;12.0;2010.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;EN;LC;LC;LC;EN;LC;LC;LC;LC;LC
Lepanthes tridens;2851823;9.715;-83.81;7.93981599807739;1968.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes tridentata;2851810;18.10132;-76.6639;8.604786777496338;1406.2;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes trimerinx;2851782;-0.2936888888888889;-78.63765555555555;5.033389065000748;2595.1111111111113;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes trinaria;2851770;5.649;-76.0412;6.25000619888306;3337.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;CR;CR;CR;CR;CR;LC;LC;LC;LC;LC
Lepanthes triura;2851759;8.4544;-71.2397;9.28561115264893;1386.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Threatened;EXT;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;EXT;LC;LC;LC;LC;LC
Lepanthes troxis;2851729;4.57768;-74.4388;12.127309989929213;2511.6;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes truncata;2851692;8.835;-82.2033;4.75755023956299;430.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Threatened;EN;EN;LC;LC;LC;LC;LC;LC;EN;EN
Lepanthes tubuliflora;2851672;18.2169;-77.0961;19.0;578.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes turialvae;2851631;9.956509090909092;-83.82122272727273;11.519823551177977;1463.090909090909;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes unitrinervis;2851529;5.51;-61.0667;0.250170260667801;1048.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;EN
Lepanthes urania;2851522;0.85;-78.47;4.4842677116394;1026.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;CR;EN;EN;EN;LC;LC;LC;LC;EN;EN
Lepanthes urbaniana;2851509;18.3;-71.95;11.351882457733135;1270.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes urotepala;2851485;-0.5750500000000001;-78.38329999999999;5.4938254356384295;1262.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes usitata;2851450;-17.8251;-64.6748;11.0;2573.0;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes valerioi;2851394;9.252633333333334;-83.1789;4.2507963180541966;2312.3333333333335;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes veleziana;2851285;18.166275;-66.88397499999999;18.0;716.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes velifera;2851247;15.2173;-90.31806666666667;18.333333333333332;1347.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes vellicata;2851241;3.3466;-77.35605;10.767435789108285;993.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;EN;EN;EN;LC;LC;EN;LC;LC;LC;LC
Lepanthes venusta;2851217;5.1494;-76.0135;8.72822380065918;2191.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;CR;CR;LC;LC;LC;LC;LC;LC;LC
Lepanthes vermicularis;2851209;-4.5415;-79.30250000000001;4.48926091194153;2565.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes versicolor;2851177;-16.820633333333333;-66.40093333333334;6.848963578542073;1810.6666666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes vespertilio;2851155;-1.7165;-78.2462;4.893650203943253;2324.375;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;EN;EN;LC;LC;LC;LC;LC
Lepanthes via-incarum;2851131;-4.46;-79.148;6.0;2547.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;CR;CR;LC;CR;CR;CR;LC;LC
Lepanthes vibrissa;2851118;1.7277666666666665;-77.26446666666666;4.55308222770691;1531.6666666666667;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;EN;EN;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes vieirae;2851093;6.3312;-77.3583;3.31109046936035;126.0;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes viridis;7644576;10.103449999999999;-84.1149;11.36547851562499;786.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes vivipara;2852179;16.1917;-93.63329999999999;4.625015020370485;1881.5;{'NORTHERN AMERICA'};False;Not Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Lepanthes vogelii;2852163;-17.5;-65.2833;4.25198459625244;2300.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes volador;2852150;0.905;-78.535;17.2814521789551;671.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;EN;CR;CR;EN;LC;LC;LC;LC;LC;LC
Lepanthes volsella;2852141;9.933333333333332;-84.25666666666666;10.876516024271647;1899.3333333333333;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes voodoo;2852116;18.3252;-72.285;9.34069347381592;1699.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;EN;LC;LC;LC;LC;LC;LC;LC;CR
Lepanthes wageneri;2852105;-0.15250689655172417;-76.5052275862069;13.339186092902873;1991.2413793103449;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes wendlandii;2852073;9.417287037037037;-83.44273333333332;8.784800882692691;2528.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes wendtii;2852050;16.70415;-94.0875;4.0;1539.0;{'NORTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;VU;EN;EN;VU;LC
Lepanthes whittenii;2851090;9.71485;-83.935;11.31477403640747;2322.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;LC;LC;LC;LC
Lepanthes williamsii;2852031;15.426400000000001;-92.33723333333334;12.666666666666666;2808.6666666666665;{'NORTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes woodburyana;2852023;18.1769125;-66.4092625;19.674661993980425;787.25;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes woodiana;2852001;18.2046;-77.10634999999999;17.0;792.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes xenos;2851954;-2.5875;-78.435825;4.766562402248383;1901.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes ximenae;2851941;-0.735825;-77.769925;14.157593727111813;1033.25;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes yanganae;2851922;-4.4595;-79.15365;7.5;1840.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes yubarta;7854591;4.7705;-76.2348;7.26826429367065;1870.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;CR;CR;CR;LC;LC;LC;LC;LC;LC;LC
Lepanthes yuvilensis;2851896;17.1167;-96.75;34.0;1697.0;{'NORTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;EN;LC;EN;EN;LC;LC;LC;LC;LC
Lepanthes zamorensis;2851887;-3.84084;-78.99932;14.345644760131842;2004.8;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthes zongoensis;2851836;-16.1167;-68.0833;8.0;2193.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;LC;LC;LC;EN;EN;LC;LC;LC;LC;LC
Lepanthes zygion;2851797;-0.0167;-78.7667;7.0;1683.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Lepanthopsis abbreviata;2852339;-3.58665;-78.65334999999999;5.884783267974855;1383.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;LC;LC;EN;LC;EN;EN;EN
Lepanthopsis acetabulum;2852300;-12.216666666666669;-71.71666666666667;7.0836699803670236;1758.3333333333333;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthopsis acuminata;2852286;1.5777083333333335;-76.11534166666667;10.587446600198746;1637.9166666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthopsis apoda;2852288;-8.075000000000001;-75.4469;9.90940793355306;2366.3333333333335;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;CR;CR;LC;LC
Lepanthopsis astrophora;2852313;7.66445;-68.16460000000001;6.106185913085939;1992.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Lepanthopsis constanzensis;2852269;19.0926;-70.5623;8.25341987609863;1021.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;CR;EN
Lepanthopsis culiculosa;2852297;-4.2125;-79.1345;10.0;2648.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;LC;LC;LC;LC;CR;CR;CR;CR;LC
Lepanthopsis farrago;2852283;-4.37;-79.18;10.0;1927.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
